COLOR NAME2	HEX
Glitzy Gold	D6A02B
Auric	C48919
Lily	F3E8C2
Glad Yellow	F5E1AC
Midday	F7D78A
Quilt Gold	EAC365
Nugget	DBB04A
Kingdom Gold	D1A436
Crispy Gold	C49832
Daybreak	F3EAC6
Moonraker	EEE3B2
Lively Yellow	E6D88E
Frolic	D9C661
Hep Green	C4B146
High Strung	AC9825
Offbeat Green	9C8B1F
Springtime	E9E5B3
Gleeful	DAD790
Mélange Green	C4C476
Parakeet	B4B05A
Luau Green	989746
Verdant	847E35
Lime Granita	DCE1B8
Dancing Green	C5CD8F
Lime Rickey	AFB96A
Overt Green	97A554
Gecko	7A8833
Paradise	6C7B30
Cucumber	D3DFC3
Jardin	BDD0AB
Mesclun Green	9DB682
Pickle	85A16A
Talipot Palm	648149
Houseplant	58713F
Lacewing	D7E3CA
Romaine	C0D2AD
Picnic	99C285
Organic Green	7FAC6E
Grasshopper	4F854A
Espalier	2F5F3A
Jocular Green	CCE2CA
Kiwi	AED2B0
Vegan	8EC298
Eco Green	68A678
Kilkenny	498555
Derbyshire	245E36
Mint Condition	D1E3D2
Reclining Green	B7D7BF
Lark Green	8AC1A1
Julep	57AA80
Argyle	348A5D
Greens	016844
Embellished Blue	D7EBE2
Waterfall	C0E3DA
Refresh	A1D4C8
Larchmere	70BAA7
Jargon Jade	53A38F
Ionian	368976
Starboard	016C4F
Tame Teal	C1E6DF
Aqueduct	A1D5CB
Cooled Blue	75B9AE
Rivulet	61A89D
Thermal Spring	3B8C80
Poseidon	016D60
Swimming	C2E5E5
Spa	A7DCDC
Mariner	6EC2C4
Aquarium	3AA9AE
Gulfstream	01858B
Maxi Teal	017478
Bathe Blue	C2E0E3
Cay	A6D0D6
Rapture Blue	7DC1CB
Freshwater	4DA6B2
Briny	08808E
Blue Nile	01717E
Aviary Blue	C6E3E8
Liquid Blue	A6D4DE
Nautilus	71B8C7
Jamaica Bay	34A3B6
Cruising	018498
Amalfi	016E85
Bravo Blue	D3E7E9
Quench Blue	B4E0E7
Cloudless	8FD0DD
Fountain	56B5CA
Capri	01A0B8
Blue Mosque	01819E
Adriatic Sea	016081
Minor Blue	B7DFE8
Bluebell	A2D5E7
Flyway	5DB3D4
Major Blue	289EC4
Blue Plate	017CA7
Jay Blue	015D87
Iceberg	D6E4E7
Soar	C3DFE8
Something Blue	B0D6E6
Regale Blue	7DB5D3
Jacaranda	5A9EC0
Danube	2377A2
Dignity Blue	094C73
Rhythmic Blue	CCDBE5
Wondrous Blue	B8CDDD
Celestial	97B3D0
Lobelia	7498BE
Lupine	4E739F
Honorable Blue	164576
Wishful Blue	D8DDE6
Breathtaking	C7D1E2
Awesome Violet	A7B2D4
Dahlia	8B98C4
Gentian	6572A5
Valiant Violet	3E4371
Inspired Lilac	DFD9E4
Potentially Purple	D1CBDF
Wisteria	BDB4D4
Brave Purple	968DB8
Forget‐Me‐Not	716998
Izmir Purple	4D426E
Elation	DFDCE5
Rhapsody Lilac	D2C8DD
Magical	C0AFD0
Kismet	A18AB7
Clematis	7E6596
Impulsive Purple	624977
Spangle	E5DBE5
Euphoric Lilac	DAC7DA
Novel Lilac	C2A4C2
Baroness	A785A7
Vigorous Violet	7C5A7E
Kimono Violet	5D395F
Exuberant Pink	B54D7F
Dynamo	953D68
Forward Fuchsia	92345B
Hot	AC4362
Dragon Fruit	CC617F
Eros Pink	C84F68
Radish	A42E41
Cherries Jubilee	AB3C51
Heartthrob	A82E33
Real Red	BF2D32
Stop	C33A36
Positive Red	AD2C34
Comical Coral	F3D1C8
Cayenne	C04D35
Raucous Orange	C35530
Obstinate Orange	D7552A
Knockout Orange	E16F3E
Invigorate	E47237
Navel	EC8430
Osage Orange	F4A045
Carnival	EB882C
Solé	F7DDA1
Optimistic Yellow	F5E1A6
Daffodil	FAD97A
Decisive Yellow	FDCC4E
Cheerful	FFC723
Gusto Gold	F8AC1D
Goldfinch	FDB702
Forsythia	FFC801
Fun Yellow	F7E594
Lemon Twist	FED95D
Daisy	FED340
Confident Yellow	FECB01
Funky Yellow	EDD26F
Eye Catching	DDB835
Citronella	CBA901
Humorous Green	C6B836
Center Stage	B2C216
Electric Lime	9ABA25
Direct Green	3F8A24
Envy	358C3F
Lucky Green	238652
Greenbelt	017244
Green Vibes	D4E7C3
Tantalizing Teal	87DCCE
Nifty Turquoise	019187
Splashy	019196
Intense Teal	017680
Calypso	01B0BB
Undercool	7FC3E1
Dynamic Blue	0192C6
Blue Chip	016EA7
Hyper Blue	015F97
Blueblood	015086
Frank Blue	225288
Hyacinth Tint	C2CBE0
Morning Glory	3C4C80
Free Spirit	CAB2D2
Passionate Purple	795484
African Violet	665385
Fully Purple	514C7E
Jitterbug Jade	019D6E
Bohemian Black	3B373C
Domino	353337
Caviar	313031
Black Magic	323132
Inkwell	31363A
Black of Night	323639
Greenblack	373A3A
Ibis White	F2ECE6
Marshmallow	EEE9E0
Downy	EFE8DD
Toque White	E7E2DA
Snowbound	EDEAE5
Pure White	EDECE6
Extra White	EEEFEA
Ceiling Bright White	E9EBE7
Alabaster	EDEAE0
Pearly White	E8E3D9
White Duck	E5DFD2
Natural Choice	E3DED0
Creamy	EFE8DB
Ivory Lace	ECE5D8
Eider White	E2DED8
Repose Gray	CCC9C0
Mindful Gray	BCB7AD
Dorian Gray	ACA79E
Dovetail	908A83
Gauntlet Gray	78736E
Black Fox	4F4842
Simple White	DFD9D2
Alpaca	CCC5BD
Requisite Gray	B9B2A9
Functional Gray	ABA39A
Backdrop	867A6F
Griffin	6F6459
Well‐Bred Brown	564537
Incredible White	E3DED7
Agreeable Gray	D1CBC1
Anew Gray	BFB6AA
Mega Greige	ADA295
Warm Stone	887B6C
Brainstorm Bronze	74685A
Status Bronze	5C4D3C
Aesthetic White	E3DDD3
Accessible Beige	D1C7B8
Balanced Beige	C0B2A2
Tony Taupe	B1A290
Virtual Taupe	8A7A6A
Smokehouse	716354
Van Dyke Brown	564536
Shoji White	E6DFD3
Worldly Gray	CEC6BB
Amazing Gray	BEB5A9
Intellectual Gray	A8A093
Anonymous	817A6E
Porpoise	6B645B
Urbane Bronze	54504A
Nuance	E2E0D6
Useful Gray	CFCABD
Analytical Gray	BFB6A7
Gray Area	AFA696
Adaptive Shade	867E70
Suitable Brown	645A4B
Enduring Bronze	554C3E
Reserved White	E0E0D9
Silver Strand	C8CBC4
Magnetic Gray	B2B5AF
Unusual Gray	A3A7A0
Attitude Gray	7C7D75
Night Owl	63655F
Rock Bottom	484C49
